question_id	question_rank	document_title	paragraph_index
1	1	Tibet	10
1	2	Near_East	57
1	3	Tuvalu	49
1	4	Boston	12
1	5	Friedrich_Hayek	31
4	1	BeiDou_Navigation_Satellite_System	18
4	2	BeiDou_Navigation_Satellite_System	7
4	3	BeiDou_Navigation_Satellite_System	12
4	4	BeiDou_Navigation_Satellite_System	14
4	5	BeiDou_Navigation_Satellite_System	3
7	1	Beyoncé	16
7	2	Beyoncé	54
7	3	Beyoncé	14
7	4	Beyoncé	1
7	5	Beyoncé	24
10	1	Roman_Republic	48
10	2	Roman_Republic	26
10	3	Roman_Republic	45
10	4	Religion_in_ancient_Rome	58
10	5	Roman_Republic	47
13	1	Mali	10
13	2	Southeast_Asia	9
13	3	Chihuahua_(state)	39
13	4	San_Diego	16
13	5	Mexico_City	16
16	1	Oklahoma_City	11
16	2	Atlantic_City,_New_Jersey	24
16	3	Richmond,_Virginia	14
16	4	Oklahoma	2
16	5	Detroit	1
19	1	Xbox_360	10
19	2	Xbox_360	11
19	3	Xbox_360	14
19	4	Xbox_360	19
19	5	Xbox_360	5
22	1	Neptune	15
22	2	Neptune	28
22	3	Neptune	10
22	4	Neptune	35
22	5	Neptune	4
25	1	Nigeria	29
25	2	Royal_Dutch_Shell	8
25	3	Royal_Dutch_Shell	0
25	4	Royal_Dutch_Shell	1
25	5	Royal_Dutch_Shell	7
28	1	New_Delhi	50
28	2	New_Delhi	46
28	3	New_Delhi	49
28	4	New_Delhi	30
28	5	New_Delhi	20
31	1	Multiracial_American	17
31	2	Dog	27
31	3	The_Blitz	4
31	4	Emotion	37
31	5	Communication	4
34	1	New_York_City	107
34	2	New_York_City	140
34	3	New_York_City	147
34	4	New_York_City	79
34	5	New_York_City	11
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	5
37	3	Federal_Bureau_of_Investigation	32
37	4	Federal_Bureau_of_Investigation	44
37	5	Federal_Bureau_of_Investigation	17
40	1	Chihuahua_(state)	42
40	2	Chihuahua_(state)	27
40	3	Chihuahua_(state)	5
40	4	Chihuahua_(state)	57
40	5	Chihuahua_(state)	38
43	1	University	24
43	2	Middle_Ages	4
43	3	Heresy	27
43	4	Education	1
43	5	Middle_Ages	92
46	1	Richard_Feynman	1
46	2	Richard_Feynman	30
46	3	Richard_Feynman	23
46	4	Richard_Feynman	31
46	5	Richard_Feynman	16
49	1	Pub	24
49	2	Pub	28
49	3	Pub	51
49	4	Pub	29
49	5	Pub	56
52	1	BeiDou_Navigation_Satellite_System	12
52	2	BeiDou_Navigation_Satellite_System	1
52	3	BeiDou_Navigation_Satellite_System	7
52	4	BeiDou_Navigation_Satellite_System	2
52	5	BeiDou_Navigation_Satellite_System	0
55	1	IPod	28
55	2	Sony_Music_Entertainment	23
55	3	Sony_Music_Entertainment	17
55	4	Sony_Music_Entertainment	1
55	5	Universal_Studios	29
58	1	Dominican_Order	27
58	2	Time	12
58	3	Renewable_energy_commercialization	23
58	4	God	22
58	5	Software_testing	2
61	1	Gramophone_record	28
61	2	Gramophone_record	29
61	3	Gramophone_record	19
61	4	Gramophone_record	21
61	5	Gramophone_record	30
64	1	Russian_Soviet_Federative_Socialist_Republic	20
64	2	Russian_Soviet_Federative_Socialist_Republic	25
64	3	Russian_Soviet_Federative_Socialist_Republic	18
64	4	Russian_Soviet_Federative_Socialist_Republic	17
64	5	Russian_Soviet_Federative_Socialist_Republic	16
67	1	Tuvalu	6
67	2	Tuvalu	14
67	3	Tuvalu	3
67	4	Tuvalu	49
67	5	Tuvalu	4
70	1	Pub	1
70	2	Modern_history	2
70	3	Middle_Ages	4
70	4	Hanover	20
70	5	Myanmar	54
73	1	The_Blitz	4
73	2	The_Blitz	15
73	3	The_Blitz	14
73	4	The_Blitz	7
73	5	The_Blitz	83
76	1	Miami	41
76	2	London	48
76	3	Nanjing	39
76	4	Railway_electrification_system	10
76	5	Florida	33
79	1	Child_labour	23
79	2	Classical_music	59
79	3	Child_labour	5
79	4	Education	31
79	5	Child_labour	32
82	1	Canadian_Armed_Forces	41
82	2	Computer_security	17
82	3	Kathmandu	23
82	4	Computer_security	12
82	5	Alaska	35
85	1	Old_English	6
85	2	Catalan_language	74
85	3	Dutch_language	8
85	4	Dutch_language	16
85	5	Translation	0
88	1	Spanish_language_in_the_United_States	11
88	2	Affirmative_action_in_the_United_States	25
88	3	Black_people	57
88	4	Spanish_language_in_the_United_States	12
88	5	Affirmative_action_in_the_United_States	0
91	1	Great_power	19
91	2	Portugal	57
91	3	Capital_punishment_in_the_United_States	23
91	4	Cyprus	37
91	5	Political_corruption	34
94	1	Greece	58
94	2	Southern_Europe	21
94	3	Catalan_language	0
94	4	Serbo-Croatian	21
94	5	Guinea-Bissau	34
97	1	Infection	16
97	2	Infection	6
97	3	Infection	1
97	4	Infection	12
97	5	Diarrhea	12
100	1	Qing_dynasty	0
100	2	Han_dynasty	5
100	3	Qing_dynasty	50
100	4	Sino-Tibetan_relations_during_the_Ming_dynasty	4
100	5	Qing_dynasty	42
103	1	Military_history_of_the_United_States	39
103	2	United_States_Army	1
103	3	Military_history_of_the_United_States	17
103	4	Military_history_of_the_United_States	4
